,게시글번호,"구분(성별, 연령별)",확진자,확진률,치명률,사망자,사망률,등록일시분초,수정일시분초
615,12715,남성,198238,53,1,1477,51,2021-11-04 14:10:25.132,null
616,12714,0-9,21670,5.85,0,0,0.00,2021-11-03 14:10:15.793,null
617,12713,10-19,34942,9.43,0,0,0.00,2021-11-03 14:10:15.793,null
618,12712,20-29,69373,18.72,0.02,12,0.41,2021-11-03 14:10:15.793,null
619,12711,30-39,59042,15.93,0.04,25,0.86,2021-11-03 14:10:15.793,null
620,12710,40-49,58676,15.83,0.08,45,1.56,2021-11-03 14:10:15.793,null
621,12709,50-59,57530,15.52,0.31,181,6.26,2021-11-03 14:10:15.793,null
622,12708,60-69,42077,11.35,1,420,14.52,2021-11-03 14:10:15.792,null
623,12707,70-79,17497,4.72,4.45,778,26.90,2021-11-03 14:10:15.792,null
624,12706,80 이상,9833,2.65,14.55,1431,49.48,2021-11-03 14:10:15.792,null
625,12705,여성,173682,46.86,0.82,1424,49.24,2021-11-03 14:10:15.791,null
626,12704,남성,196958,53.14,0.75,1468,50.76,2021-11-03 14:10:15.791,null
627,12692,0-9,21440,5.83,0,0,0.00,2021-11-02 14:09:30.193,null
628,12691,10-19,34510,9.38,0,0,0.00,2021-11-02 14:09:30.193,null
629,12690,20-29,69122,18.78,0.02,12,0.42,2021-11-02 14:09:30.193,null
630,12689,30-39,58653,15.94,0.04,25,0.87,2021-11-02 14:09:30.193,null
631,12688,40-49,58386,15.87,0.08,45,1.57,2021-11-02 14:09:30.193,null
632,12687,50-59,57216,15.55,0.32,181,6.30,2021-11-02 14:09:30.193,null
633,12686,60-69,41647,11.32,1.01,419,14.58,2021-11-02 14:09:30.192,null
634,12685,70-79,17318,4.71,4.46,772,26.86,2021-11-02 14:09:30.192,null
635,12684,80 이상,9682,2.63,14.67,1420,49.41,2021-11-02 14:09:30.192,null
636,12683,여성,172439,46.86,0.82,1413,49.16,2021-11-02 14:09:30.192,null
